datetime,portfolio_value,cash,positions,return
2024-06-14 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",
2024-06-15 09:30:00-04:00,100000.0,94591.19995117188,"[{'asset': USD, 'quantity': 94591.19995117188}, {'asset': SPY, 'quantity': 10.0}]",0.0
2024-06-17 09:30:00-04:00,100012.00012207031,94591.19995117188,"[{'asset': USD, 'quantity': 94591.19995117188}, {'asset': SPY, 'quantity': 10.0}]",0.00012000122070321417
2024-06-18 09:30:00-04:00,100062.79968261719,94591.19995117188,"[{'asset': USD, 'quantity': 94591.19995117188}, {'asset': SPY, 'quantity': 10.0}]",0.0005079346526903894
2024-06-19 09:30:00-04:00,100062.79968261719,94591.19995117188,"[{'asset': USD, 'quantity': 94591.19995117188}, {'asset': SPY, 'quantity': 10.0}]",0.0
2024-06-20 09:30:00-04:00,100085.59997558594,94591.19995117188,"[{'asset': USD, 'quantity': 94591.19995117188}, {'asset': SPY, 'quantity': 10.0}]",0.00022785983443474045
2024-06-21 09:30:00-04:00,100035.2001953125,94591.19995117188,"[{'asset': USD, 'quantity': 94591.19995117188}, {'asset': SPY, 'quantity': 10.0}]",-0.0005035667497195195
2024-06-22 09:30:00-04:00,100035.2001953125,94591.19995117188,"[{'asset': USD, 'quantity': 94591.19995117188}, {'asset': SPY, 'quantity': 10.0}]",0.0
2024-06-24 09:30:00-04:00,100052.09012207031,94608.78995117187,"[{'asset': USD, 'quantity': 94608.78995117187}, {'asset': SPY, 'quantity': 10.0}]",0.00016883983562610005
2024-06-25 09:30:00-04:00,100048.68985351562,94608.78995117187,"[{'asset': USD, 'quantity': 94608.78995117187}, {'asset': SPY, 'quantity': 10.0}]",-3.398498272788597e-05
2024-06-26 09:30:00-04:00,100045.68997558593,94608.78995117187,"[{'asset': USD, 'quantity': 94608.78995117187}, {'asset': SPY, 'quantity': 10.0}]",-2.998418004351855e-05
2024-06-27 09:30:00-04:00,100062.48990234375,94608.78995117187,"[{'asset': USD, 'quantity': 94608.78995117187}, {'asset': SPY, 'quantity': 10.0}]",0.00016792254380892935
2024-06-28 09:30:00-04:00,100080.38968261718,94608.78995117187,"[{'asset': USD, 'quantity': 94608.78995117187}, {'asset': SPY, 'quantity': 10.0}]",0.00017888601703708318
2024-06-29 09:30:00-04:00,100080.38968261718,94608.78995117187,"[{'asset': USD, 'quantity': 94608.78995117187}, {'asset': SPY, 'quantity': 10.0}]",0.0
